aa	Afaraf
byz-x-yawera	Yawera
bza	Bandi
bzb	Andio
bzc	Southern Betsimisaraka Malagasy
bzc-x-antemoro	Antemoro
bzd	Bribri
bze	Jenaama Bozo
bzf	Boikin
bzf-x-duo	Duo
bzg	Babuza
bzh	Mapos Buang
bzi	Bisu
bzj	Belize Kriol English
bzk	Nicaragua Creole English
bzl	Boano (Sulawesi)
bzm	Bolondo
bzn	Boano (Maluku)
bzo	Bozaba
bzp	Kemberano
bzq	Buli (Indonesia)
bzr	Biri
bzs	Brazilian Sign Language
bzt	Brithenig
bzu	Burmeso
bzv	Naami
bzw	Basa (Nigeria)
bzx	Kɛlɛngaxo Bozo
bzy	Obanliku
bzz	Evant
ca	català
caa	Chortí
cab	Garifuna
cac	Chuj
cad	Caddo
cae	Lehar
caf	Southern Carrier
cag	Nivaclé
caj	Chané
cak	Kaqchikel
cal	Carolinian
cam	Cemuhî
can	Chambri
cao	Chácobo
cap	Chipaya
caq	Car Nicobarese
car	Galibi Carib
cas	Tsimané
cav	Cavineña
caw	Callawalla
cax	Chiquitano
cay	Cayuga
caz	Canichana
cbb	Cabiyarí
cbc	Carapana
cbd	Carijona
cbg	Chimila
cbi	Chachi
cbj	Ede Cabe
cbk	Chavacano
cbl	Bualkhaw Chin
cbn	Nyahkur
cbo	Izora
cbq	Tsucuba
cbr	Cashibo-Cacataibo
cbs	Cashinahua
cbt	Chayahuita
cbu	Candoshi-Shapra
cbu-x-chapra	Chapra
cbv	Cacua
cbw	Kinabalian
cby	Carabayo
ccc	Chamicuro
ccd	Cafundo Creole
cce	Chopi
ccg	Samba Daka
cch	Atsam
ccj	Kasanga
ccl	Cutchi-Swahili
ccm	Malaccan Creole Malay
cco	Comaltepec Chinantec
ccp	Chakma
cda	Choni
cde	Chenchu
cdf	Chiru
cdg	Chamari
cdh	Chambeali
cdi	Chodri
cdj	Churahi
cdm	Chepang
cdn	Chaudangsi
cdo	闽东语
cdr	Cinda-Regi-Tiyal
cds	Chadian Sign Language
cdy	茶洞語
cdz	Koda
ce	нохчийн мотт
cea	Lower Chehalis
ceb	Cebuano
ceb-x-boholano	Boholano
ceb-x-siquijodnon	Siquijodnon
ceg	Chamacoco
cek	Eastern Khumi Chin
cek-x-asangkhawngso	Asang Khawngso
cek-x-taaw	Ta-Aw Rengcaa
cen	Cen
cet	Centúúm
cfa	Dijim-Bwilim
cfa-x-dijim	Dǝjim
cfd	Cara
cfg	Como Karim
cfm	Falam Chin
cfm-x-chorei	Chorei
cfm-x-kaipeng	Kaipeng
cfm-x-molsom	Molsom
cfm-x-tapong	Tapong
cga	Changriwa
cgc	Kagayanen
cgg	Chiga
cgg-x-rutwa	Rutwa
cgk	Chocangacakha
ch	Chamoru
chb	Chibcha
chc	Catawba
chd	Highland Oaxaca Chontal
chf	Tabasco Chontal
chh	Chinook
chj	Ojitlán Chinantec
chk	Chuukese
chl	Cahuilla
chm	Mari (Russia)
chn	Chinook jargon
cho	Choctaw
chp	Chipewyan
chq	Quiotepec Chinantec
chr	Cherokee
chw	Chuwabu
chx	Chantyal
chy	Cheyenne
chz	Ozumacín Chinantec
cia	Cia-Cia
cib	Ci Gbe
cic	Chickasaw
cie	Cineni
cih	Chinali
cik	Chitkuli Kinnauri
cim	Cimbrian
cin	Cinta Larga
cip	Chiapanec
cir	Tiri
ciw	Chippewa
ciy	Chaima
cja	Tây Chăm
cje	Chru
cjh	Upper Chehalis
cji	Чамалинский
cjk	Chokwe
cjk-ZM-chokwe	Chokwe
cjm	Đông Chăm
cjn	Chenapian
cjo	Ashéninka Pajonal
cjp	Cabécar
cjs	Шорский
cjv	Chuave
cjy	晋语
ckb	سورانی
ckh	Chak
ckl	Cibak
ckm	Chakavian
ckn	Kaang Chin
cko	Anufo
ckq	Kajakse
ckr	Kairak
cks	Tayo
ckt	Чукотский
cku	Koasati
ckv	Kavalan
ckx	Caka
cky	Cakfem-Mushere
ckz	Cakchiquel-Quiché Mixed Language
cla	Ron
clc	Chilcotin
cld	ܣܘܼܪܲܝܬ
cle	Lealao Chinantec
clh	چیلیسو
cli	Chakali
clj	Laitu Chin
clk	Idu-Mishmi
cll	Chala
clm	Clallam
clo	Lowland Oaxaca Chontal
clt	Lautu Chin
clu	Caluyanun
clw	Чулымский
cly	Eastern Highland Chatino
cma	Maa
cme	Cerma
cmg	Classical Mongolian
cmi	Emberá-Chamí
cml	Campalagian
cmm	Michigamea
cmn	官话
cmn-x-gesu	Gesu
cmn-x-omc	Oral Mandarin Chinese
cmo	Central Mnong
cmo-x-trin	T.rin
cmr	Mro-Khimi Chin
cms	Messapic
cmt	Camtho
cna	Changthang
cnb	Chinbon Chin
cnc	Côông
cng	Northern Qiang
cnh	Haka Chin
cni	Asháninka
cnk	Khumi Chin
cnk-x-kanise	Kanise Khumi
cnk-x-khumileo	Khumi Le-o
cnl	Lalana Chinantec
cno	Con
cns	Central Asmat
cnt	Tepetotutla Chinantec
cnu	لهجة شناوية
cnw	Ngawn Chin
cnx	Middle Cornish
co	corsu, lingua corsa
coa	Cocos Islands Malay
cob	Chicomuceltec
coc	Cocopa
cod	Cocama-Cocamilla
coe	Koreguaje
cof	Colorado
cog	ภาษาชอง
cog-x-kola	Kola
coh	Chonyi-Dzihana-Kauma
coh-x-jibana	Jibana
coh-x-kauma	Kauma
coj	Cochimi
cok	Santa Teresa Cora
col	Columbia-Wenatchi
com	Comanche
con	Cofán
coo	Comox
cop	لغة قبطية
cot	Caquinte
cou	Wamey
cov	草苗
cow	Cowlitz
cox	Nanti
coz	Chochotec
cpa	Palantla Chinantec
cpb	Ucayali-Yurúa Ashéninka
cpc	Ajyíninka Apurucayali
cpg	Cappadocian Greek
cpi	Chinese Pidgin English
cpn	Cherepon
cpo	Kpeego
cps	Capiznon
cpu	Pichis Ashéninka
cpx	莆仙话
cpy	South Ucayali Ashéninka
cqd	苗语川黔滇方言
cqd-x-huamiao	Hua Miao
cqd-x-huomiao	Huo Miao
cqu	Chilean Quechua
cr	ᓀᐦᐃᔭᐍᐏᐣ
cra	Chara
crb	Island Carib
crc	Lonwolwol
crd	Coeur d'Alene
crg	Michif
crh	Crimean Tatar
cri	Sãotomense
crj	Southern East Cree
crk	Plains Cree
crl	Northern East Cree
crm	Moose Cree
crn	El Nayar Cora
cro	Crow
crq	Iyo'wujwa Chorote
crr	Carolina Algonquian
crs	Seselwa Creole French
crt	Iyojwa'ja Chorote
crv	Chaura
crw	Chrau
crx	Carrier
cry	Cori
crz	Cruzeño
cs	čeština, český jazyk
csa	Chiltepec Chinantec
csb	Kashubian
csc	Catalan Sign Language
csd	Chiangmai Sign Language
cse	Czech Sign Language
csf	Cuba Sign Language
csg	Chilean Sign Language
csh	Asho Chin
csi	Coast Miwok
csj	Songlai Chin
csk	Jola-Kasa
csl	中国手语
csl-x-nechinsl	North East China Sign Language
csm	Central Sierra Miwok
csn	Colombian Sign Language
cso	Sochiapam Chinantec
csq	Croatia Sign Language
csr	Costa Rican Sign Language
css	Southern Ohlone
cst	Northern Ohlone
csv	Sumtu Chin
csw	Swampy Cree
csy	Siyin Chin
csz	Coos
cta	Tataltepec Chatino
ctc	Chetco
ctd	Tedim Chin
cte	Tepinapa Chinantec
ctg	Chittagonian
cth	Thaiphum Chin
ctl	Tlacoatzintepec Chinantec
ctm	Chitimacha
ctn	छिन्ताङ्
cto	Emberá-Catío
ctp	Western Highland Chatino
cts	Northern Catanduanes Bikol
cts-x-pangyan	Pangyan
ctt	Wayanad Chetti
ctu	Chol
ctz	Zacatepec Chatino
cu	ѩзыкъ словѣньскъ
cua	Tiếng Co
cub	Cubeo
cuc	Usila Chinantec
cug	Cung
cuh	Chuka
cui	Cuiba
cuj	Mashco Piro
cuk	San Blas Kuna
cul	Culina
cuo	Cumanagoto
cup	Cupeño
cuq	仡隆語
cur	Chhulung
cut	Teutila Cuicatec
cuu	傣雅语
cuv	Cuvok
cuw	Chukwa
cux	Tepeuxila Cuicatec
cv	чӑваш чӗлхи
cvg	Chug
cvn	Valle Nacional Chinantec
cwa	Kabwa
cwb	Maindo
cwd	Woods Cree
cwe	Kwere
cwg	Chewong
cwt	Kuwaataay
cy	Cymraeg
cya	Nopala Chatino
cyb	Cayubaba
cyo	Cuyonon
czh	徽州话
czk	Knaanic
czn	Zenzontepec Chatino
czo	闽中语
czt	Zotung Chin
da	dansk
daa	Dangaléat
dac	Dambi
dad	Marik
dad-x-lagogen	Lagogen
dae	Duupa
dag	Dagbani
dah	Gwahatike
dai	Day
daj	Dar Fur Daju
dak	Dakota
dal	Dahalo
dam	Damakawa
dao	Daai Chin
dao-x-yindu	Daa Yin Du
daq	Dandami Maria
dar	Даргинский
das	Daho-Doo
dau	Dar Sila Daju
dav	Taita
daw	Davawenyo
dax	Dayi
day-x-dayakmali	Dayak Mali
day-x-dayaksambas	Dayak Sambas
daz	Dao
dba	Bangime
dbb	Deno
dbd	Dadiya
dbe	Dabe
dbf	Edopi
dbg	Dogul Dom Dogon
dbi	Doka
dbj	Ida'an
dbl	Dyirbal
dbm	Duguri
dbn	Duriankere
dbo	Dulbu
dbp	Duwai
dbq	Daba
dbr	Dabarre
dbt	Ben Tey Dogon
dbu	Bondum Dom Dogon
dbv	Dungu
dbw	Bankan Tey Dogon
dby	Dibiyaso
dcc	Deccan
dda	Dadi Dadi
ddd	Dongotono
dde	Doondo
ddg	Fataluku
ddi	West Goodenough
ddi-x-amoli	Amoli
ddj	Jaru
ddn	Dendi (Benin)
ddo	цезйас мец
ddr	Dhudhuroa
dds	Donno So Dogon
ddw	Dawera-Daweloor
de	Deutsch
dec	Dagik
ded	Dedua
dee	Dewoin
def	گویش دزفولی
deg	Degema
deh	Dehwari
dei	Demisa
dek	Dek
del	Delaware
dem	Dem
den	Slave (Athapascan)
deq	Dendi (Central African Republic)
der	Deori
des	Desano
dev	Domung
dez	Dengese
dga	Southern Dagaare
dgb	Bunoge Dogon
dgc	Casiguran Dumagat Agta
dgc-x-agtaquirino	Agta-Quirino
dgc-x-dinapigue	Dinapigue Agta
dgd	Dagaari Dioula
dge	Degenan
dgg	Doga
dgh	Dghwede
dgi	Northern Dagara
dgk	Dagba
dgl	Andaandi
dgo	Dogri (individual language)
dgr	Dogrib
dgs	Dogoso
dgu	Degaru
dgw	Daungwurrung
dgx	Doghoro
dgz	Daga
dhd	Dhundari
dhd-x-sindoli	Sindoli
dhg	Dhangu
dhi	धिमाल
dhl	Dhalandji
dhm	Zemba
dhn	Dhanki
dho	Dhodia
dhr	Dhargari
dhs	Dhaiso
dhv	Dehu
dhw	Dhanwar (Nepal)
dhx	Dhungaloo
dia	Dia
dib	South Central Dinka
dic	Lakota Dida
dic-x-dahawan	Dahawan
dic-x-djiboua	Djiboua
dic-x-vata	Dida Vata
did	Didinga
dif	Dieri
dig	Digo
dih	Kumiai
dii	Dimbong
dii-x-bape	Bape
dij	Dai
dik	Southwestern Dinka
dil	Dilling
dim	Dime
din	Dinka
dio	Dibo
dip	Northeastern Dinka
diq	Dimli (individual language)
dir	Dirim
dis	Dimasa
diu	Gciriku
diu-x-rusambiu	Rusambiu
diw	Northwestern Dinka
dix	Dixon Reef
diy	Diuwe
diz	Ding
diz-x-kidikidiki	Kidikidiki
djb	Djinba
djc	Dar Daju Daju
djd	Djamindjung
dje	Zarma
dji	Djinang
djj	Djeebbana
djk	Eastern Maroon Creole
djm	Jamsay Dogon
djn	Djauan
djo	Jangkang
djo-x-dayakbaeih	Dayak Ba eih
djo-x-dayakdarok	Dayak Darok
djo-x-dayakkodatn	Dayak Kodatn
djo-x-dayakpapak	Dayak Papak
djo-x-dayaksum	Dayak Sum
djo-x-dayaktinying	Dayak Tinying
djo-x-meranggau	Dayak Meranggau
djo-x-pompang	Dayak Pompang
djr	Djambarrpuyngu
dju	Kapriman
dka	Dakpakha
dkg	Kadung
dkk	Dakka
dkr	Kuijau
dks	Southeastern Dinka
dkx	Mazagway
dlg	Долганский
dlk	Dahalik
dlm	Dalmatian
dln	Darlong
dma	Duma
dmb	Mombo Dogon
dmc	Gavak
dme	Dugwor
dmg	Upper Kinabatangan
dmk	ڈوماکی
dml	دامیڑی
dmm	Dama
dmo	Kemezung
dmr	East Damar
dms	Dampelas
dmu	Dubu
dmv	Dumpas
dmw	Mudburra
dmx	Dema
dmy	Demta
dna	Upper Grand Valley Dani
dnd	Daonda
dne	Ndendeule
dng	Dungan
dni	Lower Grand Valley Dani
dnj	Dan
dnk	Dengka
dnk-x-laelete	Laelete
dnn	Dzùùngoo
dnr	Danaru
dnr-x-kuaa	Kuaa
dnt	Mid Grand Valley Dani
dnt-x-balimselatan	Hugula Balim Selatan
dnt-x-balimtenga	Hugula Balim Tengah
dnt-x-balimutara	Hugula Balim Utara
dnu	Danau
dnv	Danu
dnw	Western Dani
dny	Dení
doa	Dom
dob	Dobu
dob-x-gosiya	Gosiya
dob-x-kaugehu	Kaugehu
doc	北侗語
doe	Doe
dof	Domu
doh	Dong
doi	Dogri (macrolanguage)
dok	Dondo
dol	Doso
don	Toura (Papua New Guinea)
doo	Dongo
dop	Lukpa
doq	Dominican Sign Language
dor	Dori'o
dos	Dogosé
dot	Dass
dov	Tonga
dow	Doyayo
dox	Bussa
doy	Dompo
doz	Dorze
dpp	Papar
drb	Dair
drc	Minderico
drd	Darmiya
dre	Dolpo
drg	Rungus
drg-x-gonsomon	Gonsomon
drg-x-pilapazan	Pilapazan
dri	C'lela
drl	Paakantyi
drn	West Damar
dro	Daro-Matu Melanau
drq	Dura
drs	Gedeo
drt	Drents
dru	Rukai
dry	Darai
dsb	Lower Sorbian
dse	Dutch Sign Language
dse-x-gambiansl	Gambian Sign Language
dsh	Daasanach
dsi	Disa
dsl	Danish Sign Language
dsn	Dusner
dso	Desiya
dso-Deva-bastaridesia	Bastaria Desia
dso-x-korapdesia	Koraputia Desia
dsq	Tadaksahak
dta	达斡尔语
dtb	Labuk-Kinabatangan Kadazan
dtd	Ditidaht
dti	Ana Tinga Dogon
dtk	Tene Kan Dogon
dtm	Tomo Kan Dogon
dto	Tommo So Dogon
dtp	Central Dusun
dtp-x-tindal	Tindal
dtr	Lotud
dts	Toro So Dogon
dtt	Toro Tegu Dogon
dtu	Tebul Ure Dogon
dty	डोटेली
dua	Duala
dub	Dubli
duc	Duna
dud	Hun-Saare
due	Umiray Dumaget Agta
duf	Dumbea
dug	Duruma
duh	Dungra Bhil
dui	Dumun
duj	Dhuwal
duk	Uyajitaya
duk-x-buai	Buai
duk-x-duduela	Duduela
dul	Alabat Island Agta
dum	Middle Dutch (ca. 1050-1350)
dun	Dusun Deyah
duo	Dupaninan Agta
dup	Duano
duq	Dusun Malang
duq-x-dusunbayan	Dusun Bayan
dur	Dii
dus	Dumi
duu	独龙语
duv	Duvle
duw	Dusun Witu
duw-x-dusunpepas	Dusun Pepas
dux	Duungooma
dv	ދިވެހި
dva	Duau
dwa	Diri
dwr	Dawro
dws	Dutton World Speedwords
dww	Dawawa
dya	Dyan
dyi	Djimini Senoufo
dym	Yanda Dom Dogon
dyo	Jola-Fonyi
dyu	Dyula
dyy	Dyaabugay
dz	རྫོང་ཁ
dza	Tunzuii
dzg	Dazaga
dzl	Dzalakha
dzn	Dzando
eaa	Karenggapa
ebg	Ebughu
ebk	Eastern Bontok
ebo	Teke-Ebo
ebr	Ebrié
ebu	Embu
ecr	Eteocretan
ecs	Ecuadorian Sign Language
ecy	Eteocypriot
ee	Eʋegbe
eee	诶话
efa	Efai
efe	Efe
efi	Efik
ega	Ega
egl	Emilian
ego	Eggon
egy	Egyptian (Ancient)
ehu	Ehueun
eip	Eipomek
eit	Eitiep
eiv	Askopan
eja	Ejamat
eja-x-arame	Aramé
eka	Ekajuk
eke	Ekit
ekg	Ekari
eki	Eki
ekk	Standard Estonian
ekl	Kol (Bangladesh)
ekm	Elip
eko	Koti
eko-x-ecoti	Koti Ecoti
ekp	Ekpeye
ekr	Yace
eky	Eastern Kayah
el	ελληνικά
ele	Elepi
elh	El Hugeirat
eli	Nding
elk	Elkei
elm	Eleme
elo	El Molo
elu	Elu
elx	Elamite
el-x-koine	Koine Greek
ema	Emai-Iuleha-Ora
ema-x-emai	Emai
ema-x-erah	Erah
ema-x-ora	Ora
ema-x-ozalla	Ozalla
ema-x-uokha	Uokha
emb	Embaloh
emb-x-kalis	Dayak Kalis
eme	Emerillon
emg	Eastern Meohang
emi	Mussau-Emira
emk	Eastern Maninkakan
emm	Mamulique
emn	Eman
emp	Northern Emberá
ems	Pacific Gulf Yupik
emu	Eastern Muria
emw	Emplawas
emx	Erromintxela
emy	Epigraphic Mayan
emz	Mbessa
en	English
ena	Apali
enb	Markweeta
enb-x-kiptani	Kiptani
enb-x-sengwer	Sengwer
enc	En
end	Ende
enf	Энецкий
eng-x-bermudengl	Bermudan English
eng-x-stdavideng	St David's Islander
enh	Энецкий
enl	Enlhet
enm	Middle English (1100-1500)
enn	Engenni
eno	Enggano
enq	Enga
enq-x-mai	Mai
enr	Emumu
enu	西摩洛
env	Enwan (Edu State)
enw	Enwan (Akwa Ibom State)
enx	Enxet
en-x-demo1	English demo1
en-x-demo2	English demo2
eo	Esperanto
eot	Beti (Côte d'Ivoire)
epi	Epie
era	Eravallan
erg	Sie
erg-x-empack	Empack
erg-x-enyeu	Enyeu
erg-x-imaptap	Imaptap
erg-x-potnariven	Potnariven
erg-x-sorung	Sorung
erg-x-yoku	Yoku
erh	Eruwa
eri	Ogea
eri-x-marak	Marak
erk	South Efate
erk-x-epang	Epang
erk-x-erakor	Erakor
erk-x-eratap	Eratap
ero	尔龚语
ers	尔苏
ert	Eritai
erw	Erokwanas
es	español
es-419	Español Latin America
ese	Ese Ejja
esh	Eshtehardi
esi	North Alaskan Inupiatun
esk	Northwest Alaska Inupiatun
esl	لغة الإشارة المصرية
esm	Esuma
esn	Salvadoran Sign Language
eso	Estonian Sign Language
esq	Esselen
ess	Central Siberian Yupik
esu	Central Yupik
esy	Eskayan
et	eesti, eesti keel
etb	Etebi
etc	Etchemin
eth	Ethiopian Sign Language
etn	Eton (Vanuatu)
etn-x-fesan	Fesan
eto	Eton (Cameroon)
etr	Edolo
ets	Yekhee
ett	Etruscan
etu	Ejagham
etx	Eten
etz	Semimi
eu	euskara, euskera
eve	Эвенский
evh	Uvbie
evn	鄂温克语
ewo	Ewondo
ewo-x-baveck	Baveck
ext	Extremaduran
eya	Eyak
eyo	Keiyo
eza	Ezaa
eze	Uzekwe
fa	فارسی
faa	Fasu
fab	Fa d'Ambu
fad	Wagi
fad-x-kamba	Kamba
faf	Fagani
fag	Finongan
fah	Baissa Fali
fai	Faiwol
faj	Faita
fak	Fang (Cameroon)
fal	South Fali
fam	Fam
fan	Fang (Equatorial Guinea)
fan-x-malabo	Malabo Fang
fan-x-mvae	Mvae
fap	Palor
far	Fataleka
far-x-iduleka	Iduleka
fas-x-eastfars	دری
fat	Fanti
fau	Fayu
fax	Fala
fay	گویش دوانی
faz	Northwestern Fars
fbl	West Albay Bikol
fcs	Quebec Sign Language
fer	Feroge
ff	Fulfulde, Pulaar, Pular
ffi	Foia Foia
ffm	Maasina Fulfulde
fgr	Fongoro
fi	suomi, suomen kieli
fia	Nobiin
fie	Fyer
fif	Faifi
fij-x-koroalau	Koroalau
fij-x-lovoni	Lovoni
fij-x-saqani	Saqani
fij-x-vaturova	Vaturova
fij-x-vugalei	Vugalei
fil	Filipino
fip	Fipa
fip-x-kwa	Kwa
fir	Firan
fit	Tornedalen Finnish
fiw	Fiwaga
fj	vosa Vakaviti
fkk	Kirya-Kondzəl
fkv	Kven Finnish
fla	Kalispel-Pend d'Oreille
flh	Foau
fli	Fali
fll	North Fali
flr	Fuliiru
flr-x-kimwanaka	Kimwanaka
fly	Flaaitaal
fmp	Fe'fe'
fmu	Far Western Muria
fng	Fanagalo
fni	Fania
fo	føroyskt
fod	Foodo
foi	Foi
fom	Foma
fon	Fon
for	Fore
for-x-abomatasa	Abomatasa
for-x-foreati	Fore Ati
for-x-forepamusa	Pamusa
for-x-kiya	Fore Kiya
for-x-pamusa	Fore Pamusa
fos	Siraya
fpe	Fernando Po Creole English
fqs	Fas
fr	français, langue française
frc	Cajun French
frd	Fordata
frk	Frankish
frm	Middle French (ca. 1400-1600)
fro	Old French (842-ca. 1400)
frp	Arpitan
frq	Forak
frr	Northern Frisian
frs	Eastern Frisian
frt	Fortsenal
fse	Finnish Sign Language
fsl	French Sign Language
fss	Finland-Swedish Sign Language
fub	Adamawa Fulfulde
fuc	Pulaar
fud	East Futuna
fue	Borgu Fulfulde
fuf	Pular
fuh	Western Niger Fulfulde
fuh-x-jelgoore	Jelgoore
fui	Bagirmi Fulfulde
fuj	Ko
fum	Fum
fun	Fulniô
fuq	Central-Eastern Niger Fulfulde
fur	Friulian
fut	Futuna-Aniwa
fuu	Furu
fuv	Nigerian Fulfulde
fuy	Fuyuge
fvr	Fur
fvr-SS-fur	Fur / Poor
fvr-TD-fur	Fur
fvr-x-fur	Fur
fwa	Fwâi
fwe	Fwe
fy	Frysk
ga	Gaeilge
gaa	Ga
gab	Gabri
gac	Mixed Great Andamanese
gad	Gaddang
gae	Guarequena
gaf	Gende
gag	Gagauz
gah	Alekano
gah-x-lapigufimi	Lapigu Fimito
gai	Borei
gaj	Gadsup
gaj-x-aiyuree	Kasup Aiyuree
gaj-x-aygm	Gadsup Ayugam
gaj-x-kamu	Gadsup Kamu
gaj-x-kasupbina	Kasup Bina
gaj-x-norikori	Norikori
gaj-x-omaura	Gadsup Omaura
gaj-x-urona	Gadsup Urona
gaj-x-wandamo	Wandamo
gaj-x-ymnk	Gadsup Yomunka
gak	Gamkonora
gal	Galolen
gam	Kandawo
gan	贛語
gao	Gants
gap	Gal
gaq	Gata'
gar	Galeya
gas	Adiwasi Garasia
gat	Kenati
gau	Mudhili Gadaba
gaw	Nobonob
gaw-x-arinai	Ari-Nai
gax	Borana-Arsi-Guji Oromo
gax-x-ajuran	Ajuran
gay	Gayo
gaz	West Central Oromo
gba	Gbaya (Central African Republic)
gbb	Kaytetye
gbd	Karadjeri
gbe	Niksek
gbf	Gaikundi
gbg	Gbanziri
gbh	Defi Gbe
gbi	Galela
gbj	Bodo Gadaba
gbk	Gaddi
gbl	Gamit
gbm	Garhwali
gbm-x-chanquotia	Chanquotia
gbn	Mo'da
gbo	Northern Grebo
gbp	Gbaya-Bossangoa
gbq	Gbaya-Bozoum
gbr	Gbagyi
gbs	Gbesi Gbe
gbu	Gagadu
gbv	Gbanu
gbw	Gabi-Gabi
gbx	Eastern Xwla Gbe
gby	Gbari
gbz	گویش بهدینان
gcc	Mali
gcd	Ganggalida
gcf	Guadeloupean Creole French
gcl	Grenadian Creole English
gcn	Gaina
gcr	Guianese Creole French
gct	Colonia Tovar German
gd	Gàidhlig
gda	Gade Lohar
gdb	Pottangi Ollar Gadaba
gdc	Gugu Badhun
gdd	Gedaged
gde	Gude
gdf	Guduf-Gava
gdg	Ga'dang
gdh	Gadjerawang
gdi	Gundi
gdj	Gurdjar
gdk	Gadang
gdl	Dirasha
gdm	Laal
gdn	Umanakaina
gdo	Годоберинский
gdq	لغة مهرية
gdr	Wipi
gds	Ghandruk Sign Language
gdu	Gudu
gdx	Godwari
gea	Geruma
geb	Kire
gec	Gboloo Grebo
ged	Gade
geg	Gengle
geh	Hutterite German
gei	Gebe
gej	Gen
gek	Yiwom
gel	ut-Ma'in
geq	Geme
ges	Geser-Gorom
gev	Eviya
gew	Gera
gex	Garre
gey	Enya
gez	Geez
gfk	Patpatar
gfk-x-hinsal	Hinsal
gfk-x-sokirak	Sokirak
gft	Gafat
gga	Gao
ggb	Gbii
gge	Guragone
ggg	Gurgula
ggl	Ganglau
ggn	Eastern Gurung
ggo	Southern Gondi
ggt	Gitua
ggu	Gagu
ggw	Gogodala
gha	لهجة غدامسية
ghc	Hiberno-Scottish Gaelic
ghe	Southern Ghale
ghh	Northern Ghale
ghk	Geko Karen
ghl	Ghulfan
ghn	Ghanongga
gho	ⵖⵓⵎⴰⵔⴰ
ghr	Ghera
ghs	Guhu-Samane
ghs-x-biahonoo	Bia ho noo
ghs-x-biawaria	Biawaria
ght	Kuke
gia	Kitja
gib	Gibanawa
gic	Gail
gid	Gidar
gie	Garo
gig	Goaria
gih	Githabul
gil	Gilbertese
gim	Gimi (Eastern Highlands)
gim-x-ibusakava	Ibusakava
gim-x-ovavo	Ovavo
gin	Гинухский
gio	仡佬
gio-x-naza	Naza
gip	Gimi (West New Britain)
giq	Hagei
gir	红仡佬语
gis	North Giziga
git	Gitxsan
giu	仡佬
giw	青仡佬语
gix	Gilima
giy	Giyug
giz	South Giziga
gjk	Kachi Koli
gjn	Gonja
gju	Gujari
gju-x-rajistani	Gujur Rajistani
gka	Guya
gke	Ndai
gkn	Gokana
gkp	Guinea Kpelle
gl	galego
glb	Belning
glc	Bon Gula
gld	Нанайский
glh	Northwest Pashai
glj	Gula Iro
glk	زبان گیلکی
glo	Galambu
glr	Glaro-Twabo
glu	Gula
glw	Glavda
gly	Gule
gmb	Gula'alaa
gmd	Mághdì
gmg	Magɨyi
gmh	Middle High German (ca. 1050-1500)
gml	Middle Low German
gmm	Gbaya-Mbodomo
gmn	Gimnime
gmu	Gumalu
gmv	Gamo
gmx	Magoma
gmy	Mycenaean Greek
gmz	Mgbolizhia
gn	Avañe'ẽ
gna	Kaansa
gnb	Gangte
gnc	Guanche
gnd	Zulgo-Gemzek
gne	Ganang
gng	Ngangam
gnh	Lere
gni	Gooniyandi
gnk	ǁGana
gnm	Ginuman
gnn	Gumatj
gno	Northern Gondi
gno-x-rajgondi	Raj Gondi
gnq	Gana
gnr	Gureng Gureng
gnt	Guntai
gnu	Gnau
gnw	Western Bolivian Guaraní
gnz	Ganzi
goa	Guro
gob	Playero
goc	Gorakor
god	Godié
god-x-kohiri	Godié Kôhiri
goe	Gongduk
gof	Gofa
gog	Gogo
goh	Old High German (ca. 750-1050)
goi	Gobasi
goj	Gowlan
gok	Gowli
gol	Gola
gom	Goan Konkani
gon	Gondi
gon-x-mariagond	Maria Gond
goo	Gone Dau
gop	Yeretuar
goq	Gorap
gor	Gorontalo
gos	Gronings
got	Gothic
gou	Gavar
gow	Gorowa
gox	Gobu
goy	Goundo
goz	Gozarkhani
gpa	Gupa-Abawa
gpe	Ghanaian Pidgin English
gpn	Taiap
gqa	Ga'anda
gqa-x-kabinda	Kaɓǝnda
gqi	貴瓊
gqn	Guana (Brazil)
gqr	Gor
gqu	稿方言
gra	Rajput Garasia
grb	Grebo
grc	Ancient Greek
grd	Guruntum-Mbaaru
grg	Madi
grh	Gbiri-Niragu
gri	Ghari
grj	Southern Grebo
grm	Kota Marudu Talantang
gro	Groma
grq	Gorovu
grr	تازناتيت
grr-x-figuigber	Figuig Berber
grs	Gresi
grt	Garo
gru	Kistane
grv	Central Grebo
grw	Gweda
grx	Guriaso
gry	Barclayville Grebo
grz	Guramalum
gse	Ghanaian Sign Language
gsg	German Sign Language
gsl	Gusilay
gsm	Guatemalan Sign Language
gsn	Gusan
gso	Southwest Gbaya
gsp	Wasembo
gss	Greek Sign Language
gsw	Swiss German
gta	Guató
gu	ગુજરાતી
gua	Shiki
gub	Guajajára
guc	Wayuu
guc-x-wayuumedi	Wayuunaiki Media
guc-x-wayuunalt	Wayuunaiki Alta
gud	Yocoboué Dida
gud-x-gbehiri	Gbéhiri
gud-x-meehiri	Menehiri
gud-x-souamlin	Souamlin
gue	Gurinji
guf	Gupapuyngu
gug	Paraguayan Guaraní
guh	Guahibo
gui	Eastern Bolivian Guaraní
guk	Gumuz
gul	Sea Island Creole English
gum	Guambiano
gun	Mbyá Guaraní
guo	Guayabero
gup	Gunwinggu
guq	Aché
gur	Farefare
gur-x-nabt	Nabt
gus	Guinean Sign Language
